Docente,Disciplina,Curso,Turma
Adao Boava,"BLU3402, Circuitos Elétricos p/Controle e Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4754B
Adao Boava,"BLU3402, Circuitos Elétricos p/Controle e Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4754A
Adao Boava,"BLU3402, Circuitos Elétricos p/Controle e Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4754C
Adao Boava,"BLU3505, Redes Industriais",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5754B
Adao Boava,"BLU3505, Redes Industriais",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5754A
Adao Boava,"BLU3044, Tópicos Avançados em Redes de Telecomunicações",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9754
Alex Fabiano Bueno,"CAC6002, Desenho Técnico para Engenharia",ENGENHARIA TÊXTIL,2755
Alex Fabiano Bueno,"BLU3702, Projeto Integrador",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754B
Alex Fabiano Bueno,"BLU3705, Automação da Manufatura",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754
Alex Fabiano Bueno,"CAC3100, Introdução à Engenharia de Controle e Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,01754B
Alex Fabiano Bueno,"CAC3100, Introdução à Engenharia de Controle e Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,01754A
Alexandre Jose Sousa Ferreira,"DET1506, Preparação à Tecelagem",ENGENHARIA TÊXTIL,5755
Alexandre Jose Sousa Ferreira,"DET1800, Projeto de Final de Curso I",ENGENHARIA TÊXTIL,8755
Alexandre Jose Sousa Ferreira,"DET1405, Tecnologia de fiação II",ENGENHARIA TÊXTIL,4755
Alfredo Alberto Muxel,"CEE5303, Química Inorgânica Experimental",QUÍMICA (Noturno),3752
Alfredo Alberto Muxel,"CEE5303, Química Inorgânica Experimental",Química Bacharelado,4757
Alfredo Alberto Muxel,"CEE5959, Fundamentos de Produção de Cerveja",Química Bacharelado,8757
Amarildo Otavio Martins,"CEE7101, Química Geral I",ENGENHARIA TÊXTIL,1755
Amarildo Otavio Martins,"CEE7101, Química Geral I",ENGENHARIA DE MATERIAIS,1753
Amarildo Otavio Martins,"CEE5707, Métodos Instrumentais de Análise II",QUÍMICA (Noturno),7752
Amarildo Otavio Martins,"CEE5804, Trabalho de Conclusão de Curso I",QUÍMICA (Noturno),8752
Amarildo Otavio Martins,"CEE5904, Trabalho de Conclusão de Curso II",QUÍMICA (Noturno),9752
Amarildo Otavio Martins,"CEE5707, Métodos Instrumentais de Análise II",Química Bacharelado,4757
Amarildo Otavio Martins,"CEE7802, TCC 2",Química Bacharelado,8757
Ana Julia Dal Forno,"DET1812, Administração",ENGENHARIA TÊXTIL,9755
Ana Julia Dal Forno,"DET1024, Gestão da Inovação",ENGENHARIA TÊXTIL,8755
Ana Julia Dal Forno,"DET1024, Gestão da Inovação",ENGENHARIA TÊXTIL,9755
Ana Julia Dal Forno,"DET1025, Empreendedorismo",ENGENHARIA TÊXTIL,5755
Ana Julia Dal Forno,"DET1812, Administração",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754
Ana Julia Dal Forno,"DET1812, Administração",ENGENHARIA DE MATERIAIS,9753
Ana Julia Dal Forno,"DET1024, Gestão da Inovação",ENGENHARIA DE MATERIAIS,3753
Ana Julia Dal Forno,"DET1025, Empreendedorismo",ENGENHARIA DE MATERIAIS,3753
Andrea Cristiane Krause Bierhalz,"DET1501, Mecânica dos fluidos",ENGENHARIA TÊXTIL,5755
Andrea Cristiane Krause Bierhalz,"DET1041, Nanotecnologia (Optativa)",ENGENHARIA TÊXTIL,9755
Andrea Cristiane Krause Bierhalz,"BLU6014, Fenômenos de Transporte",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4754
Andrea Cristiane Krause Bierhalz,"BLU6014, Fenômenos de Transporte",ENGENHARIA DE MATERIAIS,5753
Anelize Zomkowski Salvi,"BLU3504, Modelagem, análise e avaliação de Desempenho de Sistemas Automatizados.",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,05754B
Anelize Zomkowski Salvi,"BLU3504, Modelagem, análise e avaliação de Desempenho de Sistemas Automatizados.",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,05754A
Anelize Zomkowski Salvi,"BLU3504, Modelagem, análise e avaliação de Desempenho de Sistemas Automatizados.",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,05754AB
Anelize Zomkowski Salvi,"BLU3702, Projeto Integrador",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754B
Anelize Zomkowski Salvi,"BLU3049, Tópicos Especiais em Controle de Processos I",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9754
Anelize Zomkowski Salvi,"BLU3048, Tópicos Especiais em Mecatrônica I",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9754
Brenno Henrique Silva Felipe,"DET1507, Tecnologia de Malharia por Trama",ENGENHARIA TÊXTIL,5755
Brenno Henrique Silva Felipe,"DET1609, Tecnologia de Tecelagem",ENGENHARIA TÊXTIL,6755
Carlos Rafael Silva de Oliveira,"DET1306, Polímeros e Fibras II",ENGENHARIA TÊXTIL,3755
